"X","Y","D1","D2","D3","D4","D5","D6","D7","D8","actualX","actualY","experimentalX","experimentalY","errorX","errorY"
"11.0","0.0","15.848932","2.5118864","89.12509","70.79458","44.668358","1.9952623","177.82794","50.118725","11.0","0.0","11.111658","9.066047","0.1116581","9.066047"
"11.0","1.0","14.125376","5.623413","79.43282","70.79458","28.18383","5.623413","0.011220185","50.118725","11.0","1.0","12.487446","10.55383","1.4874458","9.55383"
"11.0","2.0","17.782795","6.3095737","112.20184","70.79458","35.48134","3.5481339","0.011220185","63.095734","11.0","2.0","12.658213","9.741109","1.6582127","7.741109"
"11.0","3.0","19.952623","2.818383","158.48932","50.118725","50.118725","7.0794578","0.011220185","79.43282","11.0","3.0","11.169656","9.133056","0.1696558","6.1330557"
"11.0","4.0","15.848932","4.466836","112.20184","44.668358","35.48134","5.623413","0.011220185","63.095734","11.0","4.0","11.871401","9.716591","0.87140083","5.716591"
"11.0","5.0","35.48134","2.818383","100.0","89.12509","35.48134","7.0794578","0.011220185","100.0","11.0","5.0","11.269497","9.1006565","0.26949692","4.1006565"
"11.0","6.0","28.18383","2.5118864","158.48932","50.118725","63.095734","15.848932","0.011220185","112.20184","11.0","6.0","12.747135","11.119781","1.7471352","5.1197805"
"11.0","7.0","11.220184","0.70794576","79.43282","28.18383","22.38721","35.48134","0.011220185","70.79458","11.0","7.0","12.567513","30.730766","1.5675135","23.730766"
"11.0","8.0","25.118864","3.9810717","177.82794","28.18383","19.952623","15.848932","0.011220185","89.12509","11.0","8.0","13.764627","8.902215","2.7646275","0.902215"
"11.0","9.0","10.0","0.39810717","125.89254","31.622776","31.622776","39.81072","0.011220185","112.20184","11.0","9.0","11.995569","31.239464","0.9955692","22.239464"
"11.0","10.0","12.589254","0.8912509","158.48932","5.623413","50.118725","31.622776","199.52623","125.89254","11.0","10.0","24.45255","23.150974","13.452551","13.150974"
"11.0","11.0","6.3095737","2.2387211","177.82794","17.782795","19.952623","63.095734","199.52623","125.89254","11.0","11.0","11.279325","29.959179","0.27932453","18.959179"
"11.0","12.0","7.943282","3.1622777","125.89254","28.18383","17.782795","79.43282","0.011220185","158.48932","11.0","12.0","14.3169","21.019861","3.3169003","9.019861"
"11.0","13.0","28.18383","1.9952623","112.20184","31.622776","31.622776","56.23413","177.82794","177.82794","11.0","13.0","11.011794","9.032891","0.01179409","3.9671087"
"11.0","14.0","22.38721","2.5118864","112.20184","35.48134","44.668358","50.118725","177.82794","89.12509","11.0","14.0","11.537647","10.354523","0.53764725","3.6454773"
"11.0","15.0","22.38721","5.0118723","112.20184","39.81072","44.668358","44.668358","177.82794","125.89254","11.0","15.0","12.20603","11.935394","1.2060299","3.0646057"
"11.0","16.0","4.466836","7.0794578","50.118725","25.118864","31.622776","70.79458","0.011220185","177.82794","11.0","16.0","12.816452","29.729025","1.816452","13.729025"
"11.0","17.0","8.912509","7.943282","112.20184","25.118864","31.622776","70.79458","0.011220185","177.82794","11.0","17.0","11.36197","19.775305","0.36196995","2.7753048"
"11.0","18.0","10.0","3.5481339","89.12509","12.589254","28.18383","89.12509","0.011220185","177.82794","11.0","18.0","13.155949","27.989414","2.1559486","9.989414"
"11.0","19.0","3.5481339","1.9952623","63.095734","8.912509","5.623413","100.0","177.82794","177.82794","11.0","19.0","12.8613205","16.649887","1.8613205","2.350113"
